#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
295205:5710,05/26/17 03:39:47,16,9,0.000010581,0.000000174
295206:5710,05/26/17 03:45:38,34,27,0.000022176,0.000014600
295207:5710,05/26/17 03:58:38,30,18,0.000019359,0.000010300
295208:5710,05/26/17 04:10:07,21,11,0.000013464,0.000000061
295209:5710,05/26/17 04:18:04,267,263,0.000165180,0.000156530
295210:5710,05/26/17 06:01:34,126,117,0.000072636,0.000063278
295211:5710,05/26/17 06:50:22,52,28,0.000029553,0.000015268
295312:5717,05/27/17 04:30:21,39,0,0.000000065,0
295313:5717,05/27/17 04:45:07,8,4,0.000023548,0
295314:5717,05/27/17 04:47:58,11,7,0.000069608,0.000000002
295315:5717,05/27/17 04:52:03,141,36,0.000943700,0.000133447
295317:5717,05/27/17 05:46:42,89,35,0.000605474,0.000211889
295318:5717,05/27/17 06:21:10,48,43,0.000322270,0.000207532
295319:5717,05/27/17 06:39:43,69,1,0.000457580,0.000003367
295320:5717,05/27/17 07:06:32,20,8,0.000131371,0.000000005
295321:5717,05/27/17 07:14:13,21,9,0.000137409,0
295322:5717,05/27/17 07:22:05,24,20,0.000156335,0.000036724
295323:5717,05/27/17 07:31:14,24,20,0.000155550,0.000081987
295324:5717,05/27/17 07:40:33,35,23,0.000225027,0.000109878
295325:5717,05/27/17 07:54:05,21,16,0.000134965,0.000040847
295326:5717,05/27/17 08:01:59,19,7,0.000121606,0.000031819
295327:5717,05/27/17 08:09:03,23,19,0.000146662,0.000042551
295328:5717,05/27/17 08:17:39,39,35,0.000247234,0.000166922
295329:5717,05/27/17 08:32:36,17,5,0.000107246,0.000022745
295330:5717,05/27/17 08:39:05,47,42,0.000294569,0.000179950
295331:5717,05/27/17 08:56:59,21,10,0.000130745,0.000044727
295332:5717,05/27/17 09:04:56,38,33,0.000235404,0.000131247
295334:5717,05/27/17 09:19:29,20,16,0.000123194,0.000067664
295335:5717,05/27/17 09:27:10,23,12,0.000141104,0.000050048
295336:5717,05/27/17 09:36:05,10,6,0.000061154,0.000004078
295337:5717,05/27/17 09:39:44,52,20,0.000316062,0.000019096
295338:5717,05/27/17 09:59:42,15,11,0.000090575,0.000000245
295339:5717,05/27/17 10:05:26,153,24,0.000909335,0.000116497
295340:5717,05/27/17 11:04:51,143,131,0.000826340,0.000619184
295341:5717,05/27/17 12:00:10,32,20,0.000181978,0.000062405
295342:5717,05/27/17 12:12:20,29,18,0.000163988,0.000054586
295343:5717,05/27/17 12:23:23,26,15,0.000146129,0.000039118
295344:5717,05/27/17 12:33:25,30,18,0.000167440,0.000055822
295345:5717,05/27/17 12:44:47,29,18,0.000161580,0.000051440
295346:5717,05/27/17 12:56:02,17,12,0.000094272,0.000015520
295347:5717,05/27/17 13:02:28,26,15,0.000143662,0.000066386
295348:5717,05/27/17 13:12:32,37,26,0.000203242,0.000087338
295349:5717,05/27/17 13:26:51,27,11,0.000147438,0.000005461
295350:5717,05/27/17 13:37:07,53,47,0.000291092,0.000226944
295354:5717,05/27/17 13:57:32,70,58,0.000362047,0.000287683
295364:5718,05/27/17 17:33:05,18,5,0.000000022,0.000000002
295366:5718,05/27/17 17:39:47,212,207,0.001134424,0.000936178
295367:5718,05/27/17 19:01:48,22,17,0.000136287,0.000063159
295368:5718,05/27/17 19:10:16,19,15,0.000117997,0.000066170
295369:5718,05/27/17 19:17:36,12,7,0.000074211,0.000025315
295370:5718,05/27/17 19:22:00,192,153,0.000997971,0.000645891
295371:5718,05/27/17 20:36:26,154,28,0.000908462,0.000104631
295375:5718,05/27/17 21:36:10,92,80,0.000529147,0.000401974
295376:5718,05/27/17 22:11:39,213,188,0.001188123,0.000905757
295377:5718,05/27/17 23:34:04,32,20,0.000174152,0.000091428
295378:5718,05/27/17 23:46:23,32,21,0.000173124,0.000092102
