#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
314662:6574,04/19/18 03:01:05,23,14,0.000017271,0.000009521
314663:6574,04/19/18 03:09:48,538,518,0.000365868,0.000324039
314664:6574,04/19/18 06:38:33,190,184,0.000122875,0.000113164
314665:6574,04/19/18 07:52:19,20,20,0.000013834,0.000013002
314747:6579,04/19/18 22:14:35,44,35,0.000418167,0.000238566
314748:6579,04/19/18 22:31:02,55,30,0.000580718,0.000154591
314750:6579,04/19/18 22:52:10,18,10,0.000202901,0.000000004
314751:6579,04/19/18 22:59:09,20,10,0.000223108,0.000000011
314752:6579,04/19/18 23:06:47,20,11,0.000219982,0.000000001
314753:6579,04/19/18 23:14:31,13,2,0.000141245,0.000000450
314754:6579,04/19/18 23:19:32,22,12,0.000236183,0.000098846
314755:6579,04/19/18 23:27:49,365,352,0.003469526,0.003036000
314756:6579,04/20/18 01:49:24,221,212,0.001771472,0.001554100
314757:6579,04/20/18 03:15:17,119,106,0.000872656,0.000759352
314758:6579,04/20/18 04:01:27,24,21,0.000169722,0.000129858
314759:6579,04/20/18 04:10:44,698,681,0.004267370,0.003810035
314764:6579,04/20/18 08:41:40,248,248,0.001277917,0.001172157
314808:6583,04/20/18 17:35:10,1,1,0.000000002,0.000000002
314809:6583,04/20/18 17:39:00,3,1,0.000011230,0.000006495
314810:6583,04/20/18 17:45:12,129,121,0.000923202,0.000785302
314811:6583,04/20/18 18:35:12,785,785,0.004996442,0.004562133
314816:6584,04/21/18 01:52:50,1062,1062,0.009398173,0.008580866
314848:6592,04/21/18 20:30:21,559,559,0.000483244,0.000476019
314859:6594,04/22/18 07:25:31,76,71,0.004323232,0.003789624
314860:6594,04/22/18 07:54:48,64,55,0.003805613,0.003200527
314861:6594,04/22/18 08:19:41,34,16,0.001971429,0.000872297
314863:6594,04/22/18 08:32:52,49,32,0.002755894,0.001692345
314864:6594,04/22/18 08:51:53,54,41,0.002931174,0.002168240
314865:6594,04/22/18 09:12:53,47,28,0.002468097,0.001400400
314867:6594,04/22/18 09:30:57,70,48,0.003661684,0.002459531
314870:6594,04/22/18 09:58:03,98,29,0.004885460,0.001427617
314872:6594,04/22/18 10:35:57,33,10,0.001579099,0.000433308
314873:6594,04/22/18 10:48:31,49,34,0.002301616,0.001506735
314874:6594,04/22/18 11:07:31,48,38,0.002192034,0.001676626
314875:6594,04/22/18 11:26:03,165,151,0.007323917,0.006526073
314876:6594,04/22/18 12:30:00,56,43,0.002346967,0.001727652
314877:6594,04/22/18 12:51:41,55,42,0.002239040,0.001654315
314878:6594,04/22/18 13:13:01,543,543,0.019443604,0.018943243
314889:6595,04/22/18 19:52:35,1,1,0.000000011,0
314890:6595,04/22/18 19:57:37,1414,1414,0.041178236,0.040125031
315103:6611,04/24/18 20:17:26,12,0,0.000000048,0
315104:6611,04/24/18 20:21:54,286,267,0.014382212,0.013028613
315105:6611,04/24/18 22:12:44,10,3,0.000522898,0.000013328
315106:6611,04/24/18 22:16:24,569,557,0.026552174,0.025036684
315107:6611,04/25/18 01:57:11,472,456,0.017309436,0.015623546
315108:6611,04/25/18 05:00:27,230,225,0.007470013,0.006751494
315111:6611,04/25/18 06:29:43,91,80,0.002886494,0.002358763
315112:6611,04/25/18 07:04:48,10,10,0.000296518,0.000293056
315149:6612,04/25/18 11:50:28,16,2,0.000000117,0.000000005
315150:6612,04/25/18 11:56:20,137,122,0.010572882,0.007370103
315151:6612,04/25/18 12:49:14,88,77,0.009833848,0.008051049
315154:6612,04/25/18 13:23:12,213,200,0.022171984,0.019509521
315157:6612,04/25/18 14:45:41,48,17,0.004722496,0.001547190
315159:6612,04/25/18 15:04:01,199,154,0.018034929,0.013418889
315163:6612,04/25/18 16:21:08,48,38,0.004123914,0.003115728
315165:6612,04/25/18 16:39:36,54,45,0.004619034,0.003750930
315166:6612,04/25/18 17:00:16,90,79,0.007421389,0.006371906
315167:6612,04/25/18 17:35:10,76,65,0.006000858,0.005014227
315168:6612,04/25/18 18:04:33,62,52,0.004728714,0.003858468
315171:6612,04/25/18 18:28:39,45,37,0.003335693,0.002630999
315172:6612,04/25/18 18:46:08,327,327,0.022178423,0.021268959
315177:6613,04/25/18 23:07:12,14,0,0.000000092,0
315179:6613,04/25/18 23:12:40,77,65,0.005712698,0.003910743
315180:6613,04/25/18 23:42:17,24,24,0.002456243,0.002407354
315186:6614,04/26/18 01:26:44,18,2,0.000000124,0.000000009
315187:6614,04/26/18 01:33:04,53,43,0.002609335,0.001068831
315188:6614,04/26/18 01:53:29,317,305,0.035306752,0.033205096
315189:6614,04/26/18 03:56:35,393,383,0.037236958,0.034201614
315190:6614,04/26/18 06:29:10,101,101,0.007973175,0.007606506
315239:6615,04/26/18 17:32:32,28,13,0.000000202,0.000000083
315240:6615,04/26/18 17:42:56,47,7,0.003227507,0.000000019
315242:6615,04/26/18 18:00:57,70,60,0.007663087,0.006297345
315243:6615,04/26/18 18:27:58,58,48,0.006549680,0.005258113
315244:6615,04/26/18 18:50:22,82,42,0.008879828,0.004418054
315246:6615,04/26/18 19:21:56,35,25,0.003713208,0.002598220
315247:6615,04/26/18 19:35:24,25,14,0.002604451,0.000975623
315248:6615,04/26/18 19:44:55,11,3,0.001133350,0.000000003
315249:6615,04/26/18 19:49:02,8,3,0.000819562,0.000000003
315250:6615,04/26/18 19:52:08,62,55,0.006374760,0.005455047
315252:6615,04/26/18 20:16:13,67,59,0.006699446,0.005719901
315255:6615,04/26/18 20:42:15,71,54,0.006805971,0.005053251
315257:6615,04/26/18 21:09:40,96,92,0.008780380,0.007979264
315258:6615,04/26/18 21:46:55,21,1,0.001857777,0.000017429
315259:6615,04/26/18 21:54:51,182,182,0.014811324,0.014365838
315262:6616,04/27/18 02:26:53,17,0,0.000000201,0
315264:6616,04/27/18 02:33:29,272,262,0.044470332,0.040749295
315265:6616,04/27/18 04:18:55,63,58,0.010474391,0.006684174
315266:6616,04/27/18 04:43:07,42,33,0.006775183,0
315267:6616,04/27/18 04:59:11,253,244,0.038752330,0.036401502
315268:6616,04/27/18 06:37:12,19,3,0.002717366,0.000000013
315270:6616,04/27/18 06:44:15,663,655,0.082138947,0.079233284
315273:6616,04/27/18 11:01:34,46,46,0.005278623,0.005178836
315318:6617,04/27/18 14:11:59,21,2,0.000000261,0.000000004
315320:6617,04/27/18 14:19:48,25,14,0.000000312,0.000000145
315321:6617,04/27/18 14:29:17,10,1,0.000000124,0.000000008
315322:6617,04/27/18 14:33:01,1361,1361,0.183782080,0.179317185
315338:6618,04/28/18 02:47:45,12,0,0.000000138,0
315339:6618,04/28/18 02:52:24,661,661,0.096218152,0.093575688
315344:6619,04/28/18 10:17:12,3,1,0,0
315355:6620,04/28/18 19:09:03,18,0,0.000000295,0
315357:6620,04/28/18 19:15:43,839,839,0.158457328,0.154318577
315360:6621,04/29/18 02:58:06,13,0,0.000000195,0
315361:6621,04/29/18 03:02:48,623,619,0.123769152,0.118994478
